Comment	Description	Designator	Kolicina na ploci	Manufacturer Part Number	Datasheet	Cena 1 komp[$]	Link na Digikey-u
3v3 na 3v3 R	RES, THIN FILM, 39K, 0.1%, 0.1W, 0603; Product Range:AEC-Q200 ERA Series; Resistance:39kohm; Power Rating:100mW; Resistance Tolerance: 0.1%; Voltage Rating:75V; Resistor Case Style:0603 [1608 Metric]; Packaging:Each; MSL:- ;RoHS Compliant: Yes	R?	3	ERA3AEB393V	https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808045.pdf?src-supplier=RSComponents	0.35	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB393V/P39KDBCT-ND/1466090
ERA-3AEB153V	PANASONIC - ERA3AEB153V - Surface Mount Thin Film Resistor, AEC-Q200 ERA Series, 15 kohm, 100 mW, -  0.1%, 75 V RoHS Compliant: Yes	R?	1	ERA-3AEB153V	https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808023.pdf?src-supplier=RSComponents	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB153V/P15KDBCT-ND/1466080
ERA-3AEB563V	Res Thin Film 0603 56K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R	R?	1	ERA-3AEB563V	https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808077.pdf?src-supplier=RSComponents	0.35	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB563V/P56KDBCT-ND/1466094
ERA-3AEB1622V	RES SMD 16.2KOHM 0.1% 1/10W 0603	R?	1	ERA-3AEB1622V	https://datasheet.ciiva.com/11810/0900766b80eb1d8c-11810457.pdf?src-supplier=RSComponents	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB1622V/P16-2KDBCT-ND/3075817
R26, R37, R38, R52, R54-procesor	RES SMD 10K OHM 1% 1/10W 0603	R?	1	RC0603FR-0710KL	https://datasheet.ciiva.com/7660/38590-7660789.pdf?src-supplier=Element14	0.1	https://www.digikey.com/product-detail/en/yageo/RC0603FR-0710KL/311-10-0KHRCT-ND/729827
R29,R22,R28-procesor	RES SMD 1K OHM 1% 1/10W 0603	R?	51	RC0603FR-071KL	https://datasheet.ciiva.com/11808/0900766b80f96399-11808081.pdf?src-supplier=RSComponents	0.1	https://www.digikey.com/product-detail/en/yageo/RC0603FR-071KL/311-1-00KHRCT-ND/729790
R39, R40-procesor	RES SMD 0 OHM JUMPER 1/10W 0603	R?	2	RC0603JR-070RL	https://datasheet.ciiva.com/11808/pyu-r-int-6-11808700.pdf?src-supplier=RSComponents	0.1	https://www.digikey.com/product-detail/en/yageo/RC0603JR-070RL/311-0-0GRCT-ND/729622
R42-procesor	RES SMD 220K OHM 1% 1/10W 0603	R?	11	RC0603FR-07220KL	https://datasheet.ciiva.com/11808/0900766b80f96399-11808161.pdf?src-supplier=RSComponents	0.1	https://www.digikey.com/product-detail/en/yageo/RC0603FR-07220KL/311-220KHRCT-ND/730009
R49, R51-procesor	RES SMD 47K OHM 1% 1/10W 0603	R?	1	CRCW060347K0FKEA	https://datasheet.ciiva.com/11808/0900766b80d98afc-11808694.pdf?src-supplier=RSComponents	0.1	https://www.digikey.com/product-detail/en/vishay-dale/CRCW060347K0FKEAC/541-4021-1-ND/7928704
RAZDELNIK-6/3V3-R1	Res Thin Film 0603 27K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD Automotive T/R	R?	1	ERA-3AEB273V	https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808051.pdf?src-supplier=RSComponents	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB273V/P27KDBCT-ND/1466086
RAZDELNIK-6/3V3-R2	Res Thin Film 0603 33K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R	R?	1	ERA3AEB333V	https://datasheet.ciiva.com/3885/46278826s9903857n1386-3885324.pdf?src-supplier=Arrow	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB333V/P33KDBCT-ND/1466088
RAZDELNIK-25/3V3-R2	Res Thin Film 0603 20K Ohm 0.1% 1/10W 25ppm/C Molded SMD SMD Punched Carrier T/R	R?	5	ERA-3AEB203V	https://datasheet.ciiva.com/29183/451348-da-01-en-widerstand-0603-era-29183826.pdf?src-supplier=Conrad	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB203V/P20KDBCT-ND/1466083
RAZDELNIK-SA 25/3V3-R1	RES SMD 130K OHM 0.1% 1/10W 0603	R?	2	ERA-3AEB134V	https://datasheet.ciiva.com/29183/451702-da-01-en-widerstand-0603-era-29183876.pdf?src-supplier=Conrad	0.34	https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AEB134V/P130KDBCT-ND/1466103
RC0603FR-0710RL	RES SMD 10 OHM 1% 1/10W 0603	R?	10	RC0603FR-0710RL	https://datasheet.ciiva.com/11808/0900766b80f96399-11808140.pdf?src-supplier=RSComponents	0.1	https://www.digikey.com/product-detail/en/yageo/RC0603FR-0710RL/311-10-0HRCT-ND/729826
TNPW04022K91BEED	RES 2.91K OHM 0.1% 1/10W 0402	R?	1	TNPW04022K91BEED	http://www.vishay.com/docs/28758/tnpw_e3.pdf?src-supplier=Digi-Key	0.62	https://www.digikey.com/product-detail/en/vishay-dale/TNPW04022K91BEED/541-2112-1-ND/4876074
3 senzora na buckove	SENSOR CURRENT HALL 20A AC/DC	S?	3	CQ3300	http://www.akm.com/akm/en/file/datasheet/CQ-3300.pdf?src-supplier=Digi-Key	8.3	https://www.digikey.com/product-detail/en/akm-semiconductor-inc/CQ3300/974-1087-1-ND/5419629
procesor	ULTRA-LOW-POWER WITH FPU ARM COR	STM?	1	STM32L4R5QII6	http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/98/80/dc/e5/f8/4b/4b/a3/DM00366448/files/DM00366448.pdf/jcr:content/translations/en.DM00366448.pdf?src-supplier=Digi-Key	12.88	https://www.digikey.com/product-detail/en/stmicroelectronics/STM32L4R5QII6/497-17671-ND/7807669
Buffer	IC BUFF SCHM TRG DL N-INV 6UDFN	UB?	5	NLU2G17MUTCG	https://datasheet.ciiva.com/1838/nlu2g17-d-1838656.pdf?src-supplier=Digi-Key	0.41	https://www.digikey.com/product-detail/en/on-semiconductor/NLU2G17MUTCG/NLU2G17MUTCGOSCT-ND/1646528
FC-135R32.7680KA-E3	CRYSTAL 32.7680KHZ 6.0PF SMT	X?	1	FC-135R32.7680KA-E3	https://www5.epsondevice.com/en/information/support/pdf/june_2018_psc_masterbook.pdf?src-supplier=Digi-Key	0.59	https://www.digikey.com/product-detail/en/epson/FC-135R-32-7680KA-E3/SER4074CT-ND/5604230
